Organization Name,number of unique orgs,number of investments
pegasus-tech-ventures,144,181
desafia,72,73
threshold,47,88
singularity-university-ventures,43,43
next47,136,211
tuesday-capital,205,253
berkeley-skydeck-fund,67,69
techstars-boston-accelerator,139,139
techstars-boulder-accelerator,120,120
techstars-seattle-accelerator,87,87
techstars-austin-accelerator,61,61
fusion-fund,45,55
oakhousepartners,53,75
joyance-partners,48,55
total-access-fund,128,131
group11,40,58
hinge-capital,55,63
8-decimal-capital,38,40
sinai-ventures,52,55
union-kitchen-3ec5,53,53
macro-ventures,63,70
nfxcapital,81,98
village-global-2,42,45
fosun-rz-capital,65,75
samsungnext,80,121
higher-ground-labs,33,34
goldman-sachs-investment-partners,31,45
therefiners,43,45
alumni-ventures-group,221,252
medtechinnovator,128,133
180-degree-capital,54,108
hack-vc,38,43
stout-street-capital,42,43
dell-technologies-capital,99,166
ic-3401,50,50
techstars-new-york-city-accelerator,142,142
chestnut-street-ventures,31,36
castor-ventures,39,41
crvvc,269,478
kairoshq,62,73
green-d-ventures-2,73,87
goldman-sachs-principal-strategic-investments,41,54
alexandria-venture-investments,64,71
swayvc,43,63
fin-tech-sandbox,47,48
uphonest-capital,70,75
maven-ventures-vc,29,42
costanoaventures,54,90
xrclabs,46,49
polychain-capital,32,37
the-yard-ventures,31,34
halogen-ventures,35,41
herculescapital,92,104
m13,32,37
ifc-venture-capital-group,35,44
arabangel,59,66
fifth-wall-ventures-management,26,36
washington-research-foundation,36,51
asu-venture-devils,131,132
the-chernin-group-llc,41,50
nycapartners,39,54
kentucky-science-and-technology-corporation-kstc,29,38
high-alpha-llc,31,43
evonexus-llc,186,191
brightstar-wisconsin-found,38,49
accomplice-atlas-venture,126,191
bullish-co,25,55
wakestream-ventures,35,44
14-w,42,59
otterrock-capital,37,49
harbert-growth-partners,36,61
lefrak-organization,41,49
point72-ventures,34,41
wil,29,39
bold-capital,32,39
colle-capital-partners,31,38
43-north,40,42
microsoftventures,72,97
gsv-acceleration,29,51
newark-venture-partners,64,80
quake-capital-partners,110,120
signal-fire,39,50
urban-x,34,37
stanfordstartx-fund,195,233
backstage-capital,53,53
starve-ups,140,142
clocktower-technology-ventures,39,40
refactor-capital,30,37
ffl,127,127
norwest-mezzanine-partners,38,50
the-perkins-fund,37,57
starta-accelerator,45,45
8vc,103,132
a-list-ventures,69,82
plug-and-play-insurance-accelerator,38,39
airbus-ventures,27,35
flight-ventures,58,60
nextgenvp,26,42
sierramaya360-2,38,45
primary-venture-partners,66,98
hig-capital,98,128
oreilly-alphatech-ventures,58,116
lcatterton,54,65
launchpad-accelerator,110,110
rosecliff-ventures,36,44
presence-capital,41,43
google-org,30,34
hax-boost-2,33,34
moonshots-capital,31,36
spectrum-28,34,42
precursor-ventures,73,88
comet-labs,37,38
moderne-ventures,48,52
liquid2-ventures,112,120
eclipse-ventures,33,49
amazon-alexa-fund,60,73
new-york-venture-partners,39,44
f-prime-capital-partners,120,182
ynext-incubator,37,37
s2g-ventures,29,40
jsv,30,55
endure-capital,27,36
hyperplane-venture-capital,27,35
tvm-techno-venture-management,35,56
the-boston-foundation,59,59
endeavor-catalyst,91,97
dain-rauscher-wessels,31,34
service-provider-capital,121,124
third-wave-digital,51,59
keiretsu-capital,51,80
fenway-summer-ventures,35,55
fidelity-management-and-research-company,64,81
metaprop-nyc,43,48
digital-currency-group,119,159
j-hunt-holdings,79,83
blue-collective,34,39
M25-VC,61,72
cota-capital,41,51
arena-ventures,32,42
iconyc-labs,40,40
struck-capital,37,50
reach-capital,41,53
zenstone-venture-capital,34,36
playground-global,32,36
cormorant-asset-management,58,73
j-h--whitney---co,27,42
soma-capital,104,107
financial-solutions-lab,32,35
marc-bell-ventures,149,152
sound-ventures,59,73
mesa-ventures,49,55
vertex-ventures,229,357
iconventures,83,161
fj-labs,209,248
vilcap-investments,89,94
boston-syndicates,33,40
rally-ventures,37,59
grace-beauty-capital,32,68
sapphire-ventures,131,209
morgan-stanley-expansion-capital,49,54
signatures-capital,109,128
launch-co,139,184
rocketship-vc,32,36
the-r-group-llc,47,59
canopyboulder,67,77
corigin-ventures-2,41,51
bbg-ventures,51,69
grand-central-tech,44,44
bdc-capital-corporation,47,49
zillionize-angel,121,125
johnson-johnson-innovation,43,52
os-fund,33,43
launch-ny,40,61
tandem-capital-2,48,59
mergelane,40,52
r-ga-ventures,61,66
wing-venture-capital,47,67
obvious-ventures,46,64
university-ventures,41,63
courtside-ventures,25,35
salesforce-ventures,266,368
cisco-investments,83,108
peak-ventures,42,57
sovereign-s-capital,29,37
bam-ventures,37,42
rise-of-the-rest,44,53
microsoft-ventures-accelerator-seattle,43,46
hard-yaka,66,70
mellon-ventures-2,44,58
qc-fintech,36,36
geekdom-fund-l-p,38,49
constellation-technology-ventures,42,62
food-x,73,98
massmutual-ventures,28,39
boomtown-accelerator,115,130
summer-highland,50,50
goodwater-capital,30,55
uptech-fund,37,82
route-66-ventures,31,47
american-family-ventures,26,35
tao-capital-partners,31,40
structure-capital,68,82
dolby-family-ventures,43,60
icg-group,38,46
oak-hc-ft-partners,37,43
vaizra-investments,31,43
true-ventures,242,460
benchmark,280,578
lightspeed-venture-partners,397,728
khosla-ventures,368,669
greylock,392,677
techstars,1471,1704
brand-foundry-ventures,34,44
draper-fisher-jurvetson,366,738
wi-harper-group,102,144
blackrock,46,56
